emo	val	name	sentence
angry	-4.0	sample_00001340	有我这么憋屈的吗有我这么可怜的吗
happy	1.25	sample_00006527	都算是忘掉过去进入新生活了挺不容易
neutral	-1.75	sample_00003895	那个人是我男朋友我们俩人谈了一年
sad	-2.0	sample_00000261	拉命地学习这么多年我们那儿就考出我这么一个大学生来我不能
neutral	0.5	sample_00003265	真是可惜你的才华了
neutral	0.25	sample_00004584	门来当树洞的有什么想说的今晚
happy	0.75	sample_00004359	爹我送你的绿茶喝得不错吧
neutral	1.0	sample_00005169	知道备战高考的这段日子里边你们过得很不愉快但是就剩那么几天了
neutral	1.0	sample_00002960	放心吧反正这次也只是试探
sad	-3.5	sample_00000944	我同意的生产更多的
worried	-0.25	sample_00001083	成俊你真的应该休息两天陪陪老人
worried	-0.25	sample_00005364	那个张婷这几天住哪儿啊
worried	-1.5	sample_00005876	唉
happy	4.0	sample_00006357	是不是有一只很著名的蟑螂一小小
sad	-4.0	sample_00006568	说都没说一声
angry	-2.5	sample_00006273	行喂邓志成我请问你今年几号了你的抚养费在哪
angry	-1.75	sample_00003304	一敢把你私藏的那些名牌包名牌鞋你跟元浩说吗
neutral	0.0	sample_00002353	我问你啊赵医生为什么不留你
happy	1.25	sample_00006011	我可没想当好大夫就是想帮忙
angry	-3.0	sample_00007023	阿紫你疯了吗还嫌家里丢人不够多
surprise	0.5	sample_00002751	好啊
neutral	0.25	sample_00004715	当然我最高兴的时候就是领公司的时候
happy	1.75	sample_00002063	你说小家伙吧这唯你身边这么转来转去的
worried	-1.5	sample_00002268	杀呀你听我跟你说啊第一他的医疗费全是我出只要一天天给赖下去还不如直接把我杀了痛快
worried	-1.5	sample_00002277	那那接下来怎么办呢
happy	1.5	sample_00002869	好嘞拜拜
angry	-2.75	sample_00003579	说到这儿吧我又恨这个
happy	1.0	sample_00004128	我们两家有特别的关系他们也不会说什么
happy	2.0	sample_00004576	怕我当时要看看谁是我的老板娘
neutral	1.0	sample_00002994	想通过自己的努力来迎接一个新的挑战
angry	-3.0	sample_00005880	你可以瞧不起我
angry	-2.25	sample_00005091	你是不是脑子有坑啊
angry	-3.5	sample_00003862	你讨厌我我也不喜欢你正好以后咱俩谁也不用搭理谁
angry	-1.75	sample_00002101	爷们儿点告诉他没别的就这个
sad	-3.5	sample_00003775	我不愿意让他在我家你让他出去出
worried	-2.0	sample_00005835	我现在是觉得呀妈肯定挺难受的光是我离婚的事
happy	1.75	sample_00005529	就来参加我的生日聚会吧我把你介绍给我的朋友们
sad	-1.5	sample_00003789	好吧我承认我接受不了他的过去
happy	2.0	sample_00004269	亲自给送过去
neutral	-0.25	sample_00002721	
happy	2.5	sample_00001564	等三吃早餐了
worried	-0.75	sample_00001832	最好还是跟曾主任说一声去万一他要
angry	-1.5	sample_00002014	你长大了孝敬我能给我庆祝生日结果你是为了你媳妇
worried	0.0	sample_00004401	我知道呢你是好心可这事呢
happy	0.5	sample_00000420	看书他也得认字啊电影文盲都能坐那儿乐
surprise	-0.75	sample_00001327	什么
angry	-3.0	sample_00005564	你干吗死追着我不放啊
worried	-1.25	sample_00002098	你怎么了
angry	-4.0	sample_00005303	你觉得我像你奶奶吗
happy	1.25	sample_00003000	您本人比照片上漂亮多
happy	2.25	sample_00005118	小晚谢谢你你真是太有心了真的我不需要真的不用
sad	-3.5	sample_00003779	就好一家不要我了回娘家我哥嫂都躲着啊
neutral	-0.5	sample_00000160	我妈也是东北人
angry	-1.25	sample_00003964	能不能干点正事
worried	0.0	sample_00002713	我只是在想我们做医生的是不是应该尽量多地站在病人的角度考虑
worried	-1.75	sample_00000827	那个我妈生病了心脏病要做手术我实在是过不来我能不能请个假
angry	-2.0	sample_00004482	袁浩你这人挺有意思的啊我跟你说你不相信罗易阳跟你说
worried	-0.75	sample_00005527	我那但是你现在这个状况
angry	-1.75	sample_00006495	那一件我算是明白了为什么这么多年你一直都放不下
happy	3.0	sample_00002582	好的好的那
neutral	0.25	sample_00005873	住那地啊正好空个房间你要不先帮我那
sad	-2.75	sample_00005764	嗯嗯
neutral	0.75	sample_00006560	住在老太太病
angry	-1.0	sample_00001694	什么呀关键时刻不接电话了
sad	-4.0	sample_00003296	不要说了乔曼
angry	-1.25	sample_00002514	不管你过去跟张
angry	-3.5	sample_00000321	你最好问问你们家闺女为什么三番五次大折我们家小强的手
angry	-2.25	sample_00004979	我分了吧我这么心平气和地做跟你谈你就这么跟我
happy	2.75	sample_00000326	我看见你这样我就觉得这话说得可真对
happy	1.5	sample_00002444	被我还有爱欲这明就是爱我爱惨
angry	-3.5	sample_00001301	你还想跟谁比呀你们那团花里还有谁比飞
sad	-1.5	sample_00001858	我太放纵自己了
surprise	-2.25	sample_00001068	对了你怎么会说
angry	-2.25	sample_00002961	看到没有我埋的吹地木塞
angry	-1.5	sample_00004640	可够仗义的
happy	1.0	sample_00004771	他同意啊他知道的我跟他说
worried	-0.5	sample_00003889	别太难过了欧阳
angry	-3.25	sample_00001329	太客气了是吧我呀本来不想给你们太大的压力我觉得即便是面对高考保持轻松愉快的心情成绩反而会提高今天你们一个个地用实际行动向我证明你们
neutral	-0.25	sample_00004898	你得尽量做到让他们满意为止
happy	0.5	sample_00000598	你刚才曾经说过我是一个成功的商人我很清楚美貌是用来消费的哦这回你大概还不
sad	-4.25	sample_00006497	大人
angry	-1.75	sample_00002535	我也不想
angry	-1.75	sample_00006819	我怎么会知道
neutral	-0.5	sample_00001147	说的就是呢我是这么想的
happy	2.25	sample_00003116	光听我也高兴
worried	-0.75	sample_00000406	我在想会不会是起点
angry	-3.75	sample_00003664	我早就跟你说过了其他的事情我无所谓但是感情的事情必须是认真的
neutral	0.25	sample_00006423	这个问题你绝对放心在这方面我特别
worried	-0.25	sample_00001035	战争是残酷的
neutral	1.0	sample_00005896	下班之后约了卫卫一起吃饭当然如果你要不介意的话我们也可以
angry	-3.25	sample_00002709	我能不生气吗你们是实习医生成天不好好学习每天都在打听这些八卦
neutral	-0.25	sample_00004265	我们在那个在开车回的路上了
angry	-3.5	sample_00006689	我不管你是谁你只要敢欺负我弟弟我就剁了
angry	-3.75	sample_00005606	为了一件事这年头谁也靠不了只能靠自己
angry	-1.75	sample_00000559	先从我们家练手你们看看喜欢什么我都砸了
angry	-2.0	sample_00006850	是你老婆是挺厉害的我们都
neutral	0.0	sample_00004539	把门关上坐吧
worried	-0.5	sample_00000118	不能安置的呢你让财务和人事部给我做一个补偿报告
angry	-4.0	sample_00000790	家属要打官司我奉陪到底真没想到我背后挨一刀
neutral	0.25	sample_00004355	昨天晚上啊
neutral	1.0	sample_00002424	为什么我现在才发现你还真是
happy	3.0	sample_00004070	
neutral	-0.25	sample_00001595	容易说出口的话
neutral	0.0	sample_00003829	跟男人吃饭也未必就能代表什么我觉得小凡是个矛盾体他是虚荣
sad	-4.5	sample_00001541	我今天你又这么出现了你你还跪下
neutral	-0.75	sample_00005467	钟志勇是怎么回事张占军
neutral	0.0	sample_00000154	我们是从镇上来的我们是警察
happy	1.25	sample_00000370	算了吧在这些人眼里我只是他们的赚钱机器
angry	-2.0	sample_00005528	老天你是不是以为你工作解决了可以高枕无忧了小心我爸
sad	-1.0	sample_00001192	我不后悔
worried	0.0	sample_00005098	爸你是不是觉得我们现在有
neutral	-1.0	sample_00000159	说吧多少钱愿意离开我
neutral	0.25	sample_00000434	我回去呢跟李逵说今后每到这个时候
worried	-0.25	sample_00003550	自尽的人再好有些事情还是要考虑的
happy	1.75	sample_00000958	也是最懂我的那个人
happy	2.0	sample_00004127	你只需要准备好你自己其他的交给我
happy	3.25	sample_00000980	谢
happy	1.5	sample_00000641	
worried	0.25	sample_00000065	收到继续监视注意
angry	-2.5	sample_00001421	相关系我没有外公也不需要他的礼物
sad	-2.75	sample_00006501	我我我以后我们也好几个月没见他了
worried	-1.75	sample_00003987	白如果他太过分了樊姐也是看不过去才
angry	-0.25	sample_00004974	
happy	2.75	sample_00000816	唉
worried	-2.25	sample_00003140	老顾啊我们可是一直把毛小春当成
happy	1.0	sample_00000713	工作了这果果也长大了我也不能老在家闲着吧等我工作稳定了我再跟您细说啊我先忙去了
sad	-3.0	sample_00000447	打到最后都成空号了我还留着呢我们
worried	-0.5	sample_00006239	怀孕可以到生产的时候
neutral	-0.25	sample_00004883	我说的呢不过也是要是没意思干吗这么
neutral	-0.75	sample_00004578	但是我妈这人好奇心特别强
neutral	-1.0	sample_00004487	我饿了快给我做饭吃
sad	-2.25	sample_00004959	我能照顾好冯达
worried	-0.5	sample_00006065	搁我这儿
happy	1.75	sample_00004660	喂你还好吗
neutral	-0.25	sample_00003022	现在的结果所有人都满意
surprise	-1.0	sample_00005122	还有男的
angry	-2.75	sample_00002610	怎么了你是有夫之妇啊你就这么跟个男孩在一块儿你像
angry	-2.5	sample_00004486	没事是大了照说你跟我妈说
worried	-0.5	sample_00004872	能报告的时候到
worried	-0.5	sample_00003448	哦哦
sad	-2.5	sample_00005025	也不知道我住哪
angry	-1.5	sample_00005083	怎么模糊了
neutral	-1.0	sample_00004806	嗯谁又知道这个孤独和自由的区别
worried	0.0	sample_00005742	林杰人家被骗得已经够惨的了我们应
worried	-1.25	sample_00006870	我不能让他知道你放鸽子呢
neutral	0.0	sample_00001911	我就希望啊你和你的家人
neutral	0.75	sample_00006452	武小姐是很热心想帮我
worried	-1.25	sample_00003201	老张我果然那个我的家里又有急事了那个我回去一趟我请一个小时假一会儿你把我盯一下吧拜托拜托拜托请吃饭请吃饭啊好嘞
sad	-2.25	sample_00002857	我把老爷子骨灰带回来把这好好收拾收拾让他入土为
neutral	0.0	sample_00002093	听大妈和叶老师说的
neutral	-0.75	sample_00007003	我呀我也别什么那个
neutral	-0.5	sample_00006950	我叫肖虹原名张南盈一九一一年六月一日农历端午节出生于黑龙江呼兰县的一个地主家庭一九四二年一月二十二日中午十一时兵逝于香港红十字会设予盛世提凡女校的临时医院香年三十一岁
angry	-3.75	sample_00003693	哎呦咱们公司员工面前诋毁我的清誉清白
neutral	-0.25	sample_00003981	团队建设可是一遇到了压力
angry	-0.75	sample_00002566	你这没嫁过去
worried	-2.25	sample_00004104	你不操心吗你说你这孩子啊从小就不会做人让你去求个人吧那半天都开不了
happy	2.0	sample_00006821	我一直还在想呢我这姐夫怎么长得这么帅啊今天这谜底终于揭晓了阿姨您长得还真是
happy	1.0	sample_00002819	梅梅能跟着你工作也算是
happy	1.5	sample_00002178	我觉得挺好的
neutral	-0.25	sample_00002107	妈你着什么急呀
happy	2.0	sample_00006662	不知道行啊你你跑一过干吗去了灯不错啊还能带着老婆女儿到英国度度假呢
worried	-0.75	sample_00001353	好说真的你打算还用多久时间忘记
sad	-1.75	sample_00003848	嫂子你对我的恩情我一辈子都忘不了
neutral	0.5	sample_00004049	这样行不行我从明天开始我好好
happy	3.5	sample_00006027	哼哼
neutral	-1.25	sample_00005370	阿贤诺我不是太饿了别怪我这有点不太舒服我就想我就休息了
neutral	-0.5	sample_00001306	我明天要回市里几天
neutral	-1.0	sample_00002209	先
happy	2.5	sample_00001049	你不是很上进
worried	0.0	sample_00003540	安迪姐你最近的麻烦事接二连三的你不用再管我
worried	-0.75	sample_00002965	闹的就是家属说我都听您们大夫的这救过来还行救不过来
angry	-2.5	sample_00005755	往后你还坚持什么还要什么灵性你以为你是谁呀
angry	-3.5	sample_00004606	天地良心你又不是不知道他们两个人结婚
sad	-4.0	sample_00004375	你那上嘴春一碰下嘴唇他怎么说的那么
neutral	0.75	sample_00003765	到时候你带着他们包括小雷能带的都带上
happy	2.25	sample_00000464	谢谢谢谢我们全家都感激你啊
happy	2.75	sample_00003170	为什让涉这一天我的人生闯进了不少人
angry	-3.5	sample_00006656	看见没有就我老公的前妻也不知道怎么叫这家王八蛋的
neutral	-0.25	sample_00002299	他最近好像在忙什么国外品牌代理
neutral	-0.25	sample_00005316	对错没错他早就
happy	3.0	sample_00005796	据说从他手里带出
sad	-1.0	sample_00006899	所以我说那我干脆就把车卖了得了我也不开
sad	-0.5	sample_00006364	是时刻恋就要死要活我还没那么脆弱
angry	-1.5	sample_00002401	我不会原谅你不原谅
neutral	-1.25	sample_00004797	我已经知道内幕了
worried	-0.25	sample_00001000	要是我们还算比较理性没有把这大门彻底关死也没有单方面去找
worried	-2.5	sample_00001752	你这么说应该我说对不起太对你说他又给你添这么大麻烦这这样等我回去我一定当面向你赔罪好吗
neutral	0.0	sample_00001086	作为一个设计师我坚持自己的想法
angry	-2.5	sample_00006800	这钱要不要是你自己的事
happy	2.75	sample_00006711	那行吧
worried	-3.5	sample_00002913	一个比一个生猛你知道吗你万一工司的人知道你会回来给你生
angry	-2.75	sample_00005818	哪怕追到天涯海角哪怕耗得我退休为止必须让今生复发
sad	-3.5	sample_00003440	好很好
neutral	0.0	sample_00004634	别胡思乱想可能就是工作太辛苦太累了
angry	-1.0	sample_00001314	不远是绝对不会堕落到你手里的因为他已经找到一份高兴
neutral	0.0	sample_00002528	听起来不错啊
happy	1.75	sample_00006250	自己主动去做一件事我觉
angry	-2.5	sample_00005854	混蛋老大你不选偏选
happy	1.25	sample_00001639	我说你专找那
sad	-2.75	sample_00005155	唉
angry	-1.25	sample_00004194	别管我了你知道干净现在在哪儿吗
surprise	0.0	sample_00000956	但这几天你就谈上恋爱了啊
worried	-1.0	sample_00005989	到现在这情况我也没敢
angry	-2.5	sample_00001749	我特别受不了他坐在我的对面可怜巴巴讨好我的样子这根本就不是一个
surprise	-1.75	sample_00000977	啊啊
surprise	-1.5	sample_00006435	不是什么
angry	-3.25	sample_00001395	你变态啊你怎么想的
worried	-2.5	sample_00006528	跟我说你有事可是你从来都不告诉我你到底在忙
angry	-3.0	sample_00003763	最大的事情最重要的事情
angry	-3.5	sample_00005526	我再来一句你们是和平分手就打发我了你耍我
happy	1.0	sample_00001423	我走是为了去找灵感能够设计出更好的
sad	-4.5	sample_00000621	对不起对不起
sad	-2.0	sample_00004573	不是这真的跟我有关系就这事不怪我哥
happy	0.5	sample_00006607	五十啊这个你放心了我的信息渠道
happy	2.0	sample_00000063	你已经这样理解了说明你已经做好选择
neutral	0.5	sample_00003794	这个是一款最新的测算
neutral	0.0	sample_00004581	喂现场布置清量又少药跟
sad	-2.5	sample_00003643	妈对不起啊
angry	-2.5	sample_00000859	你什
angry	-1.25	sample_00002455	重要吗在这个年代里在我们这一代人身上被束缚的东西太多了要我说的你们爱听我就满意
happy	0.25	sample_00004139	不过如果有人不愿意的话
angry	-3.75	sample_00002982	你是不是一生下来你们就粘着人家
neutral	-0.5	sample_00001560	本来出得都好好的可一不小心被他发现我不屑无数
angry	-3.0	sample_00002669	
angry	-1.25	sample_00006061	其实我再跟你说一次他和咱们不是一路人
happy	2.25	sample_00006207	你越是不让他得逞啊他越是死心塌地的
surprise	-1.0	sample_00001146	天咱们二十二了的关系越来越复杂了看来我以
happy	1.5	sample_00004675	你认识的朋友多如果看到合适的帮他
happy	3.25	sample_00003253	哈哈
happy	2.25	sample_00005604	这太好了太好了
happy	2.75	sample_00005756	可以啊没问题想去就去呗
angry	-2.75	sample_00000826	是这个毛里强四的
happy	1.0	sample_00005288	我觉得要把最真实的一面给他看那样才酷啊
happy	2.5	sample_00000502	对不起我已经
happy	2.0	sample_00005079	
sad	-2.0	sample_00002138	我不管
neutral	-1.5	sample_00000382	不要这钱但是我需要房子
neutral	0.0	sample_00000182	导演在这个行业里地位非常高
angry	-1.5	sample_00005302	你能不能拿出个样来
sad	-3.0	sample_00001023	有点事以刺激就这样
happy	2.0	sample_00001451	你你
happy	2.0	sample_00001634	哪儿的话呀非凡毕
neutral	-1.25	sample_00002779	别这么说那时候救你也不知道算是救了
happy	2.25	sample_00003280	那个你果然在楼下说拜见
angry	-4.25	sample_00006125	自己成为一个连是非都分不清
worried	-2.75	sample_00002287	万一中院家属发现了闹起
happy	2.0	sample_00003760	要不然咱俩聊聊天吧
happy	2.25	sample_00004799	哇伏妖叫黄雷锋屌丝没当然不知道了句也是可以复制高笔的这一笔账
neutral	0.75	sample_00000020	后来呢我们就一起考上了师大
happy	0.5	sample_00000972	哦那行那好吧那就这儿吧
angry	-1.0	sample_00001206	大家好是因为我们三个人的关系所以我要让别人明白你现在跟我在
neutral	-0.75	sample_00001385	你看你这绷着脸
happy	1.5	sample_00005942	成那我一会儿看见他啊我就告诉他要不您别在这儿等了我们这儿啊挺乱的您先去也别让叔叔呢
angry	-2.75	sample_00003757	这是什么话呀我不相信
neutral	-1.0	sample_00005834	嗯爸对只是今天这件事情我真的实先不知道
angry	-1.25	sample_00001554	像踢足球光是传球不射门怎么赢啊
worried	-1.25	sample_00001567	昨天晚上
neutral	0.0	sample_00002864	嗯
worried	-1.0	sample_00004372	说是还要再住几天吧他没让我和莹莹帮忙是我们什么都不用帮
sad	-2.25	sample_00001614	你为什么要这样对我
happy	1.0	sample_00005991	特殊座位上其实是我当年一个人坐在特殊
happy	0.75	sample_00006022	真的活到这个年龄哈
neutral	0.0	sample_00001616	我本来是要去别的地儿的后来没去成所以我就来你馆
angry	-2.25	sample_00001346	小毛贼把杀
neutral	-0.75	sample_00003274	我都跟人约好了让人小朋友父母过来要跟人见一面
angry	-2.5	sample_00002682	这是什么态度
neutral	0.25	sample_00000127	还不算笨其实这是一种很常见的谈判
sad	-2.5	sample_00003358	没什么关系了以后呢
neutral	0.0	sample_00004565	你现在的表现来看你已经相信那个
angry	-2.75	sample_00000538	我放家里怎么了他碍着你什么事了
sad	-2.25	sample_00002633	成了我的事情我自己知道怎么处理我就是想自己静一下
neutral	0.0	sample_00004118	好
angry	-3.25	sample_00001198	大坝跟爷范儿你消费看那天碰死你的好汉年轻书
happy	1.5	sample_00005761	先请一下子就好
sad	-1.5	sample_00006314	我改名字是因为我叫不了天爽我爸妈本来想给我取名叫天降
sad	-2.25	sample_00003309	我每天在地图上一遍又一遍地看
neutral	-0.75	sample_00000239	说了那么多难听的话你都忍着我
angry	-3.75	sample_00003772	把话放在这儿如果因为这件事惹出了什么麻烦我让你吃不了兜着走
surprise	-0.5	sample_00000220	妈
angry	-2.5	sample_00001332	你知道能不能像个男人一样面对自己的心
angry	-3.75	sample_00004446	有钱怎么了你们有钱你们有钱就可以侮辱人哪
worried	-1.0	sample_00000635	尤其是像夏荷心这样的危重病人她现在面对死亡在情感上呢处于一个非常微妙的
happy	3.0	sample_00000749	没事没事那只是模型
angry	-2.5	sample_00003940	好好好我知道了我明天晚上来苏梅你别动不动就拿不离婚来威胁
neutral	0.75	sample_00002644	为什么选择跟你交易而不跟其他人交易呢取决于两件
happy	1.5	sample_00004844	您
angry	-1.75	sample_00006521	有你这样教育孩子的吗
worried	-0.5	sample_00005356	现在国内遇到这样的事情
happy	2.25	sample_00001984	我不瞒您我这个马上想想能够和孙老师面对面地在一起交谈我觉得非常荣幸
angry	-1.5	sample_00005901	没错我是跟着
neutral	0.5	sample_00006360	其实呢我也认真地琢磨了一下
neutral	0.0	sample_00005788	作对作对许飞跟攀岩
worried	-2.0	sample_00002369	少喝点岁数也不小了非
neutral	0.0	sample_00004707	这个之前我问过他说他没有钱
neutral	0.25	sample_00003032	带护的人就是你所以我也希望你们两个能有好的
neutral	-0.25	sample_00006075	我对你是完全没有这方面的想法
neutral	-0.25	sample_00000101	不了解路况
angry	-2.0	sample_00001302	那小海是借的呢你前几天一天一千一天
angry	-1.5	sample_00001688	从今往后晚上不许出去
happy	2.75	sample_00000048	挺好的下班啦
angry	-2.75	sample_00001407	这也太含蓄了吧那做得跟没做似的那都五白受了吗
neutral	-0.5	sample_00004926	我需要工作
worried	-1.25	sample_00001624	
sad	-1.5	sample_00002623	报纸上这事忘得是快可烟雨潇湘这盖牌子立起来
sad	-1.5	sample_00001594	你要酒得借钱
neutral	-0.25	sample_00001046	碰巧撞一块了
happy	3.0	sample_00004321	这摩登潮流产业没兴趣可是他反而有那么多的建议和意见其实他就是天生的经营乡界集团的料
sad	-1.75	sample_00001871	
neutral	0.0	sample_00004637	您一定是五爷
neutral	-0.5	sample_00003685	设计师也不过是给别人打工
angry	-3.0	sample_00001269	那我没回家你电话准来你知道我的同事们怎么说吗他们说你这叫夺命连环
angry	-1.75	sample_00000613	朋友谈感情是吗
worried	-2.25	sample_00003416	你俩要是结婚
sad	-3.0	sample_00000933	这这
happy	0.75	sample_00001135	哎呀说起来啊你说这现实是跟
neutral	0.0	sample_00006030	宝帅你别蒙我你
neutral	-0.25	sample_00006157	再多说两句吧
sad	-1.0	sample_00000455	出了意外呢也是难免的就是就是从情感上吧我有点接受不了
sad	-1.25	sample_00004700	天躺着呢我想留下来多陪
neutral	0.0	sample_00000448	如果你没有赚到预期的利润甚至赔本赚吆喝这样
worried	-1.0	sample_00005229	有什么不得已呀你要是信得过我
neutral	-0.75	sample_00006883	我爸男人整天不是追女人
neutral	1.5	sample_00004056	不管分两种有好的坏习惯有坏的坏习惯男子汉嘛好的坏习惯该从小就学
happy	1.75	sample_00000902	妈您今天真是太
worried	-1.0	sample_00000529	你不要瞒我
neutral	-1.25	sample_00004150	我是净身出户
angry	-2.5	sample_00005243	一直刷屏他是那么在乎评论我一直刷让他一条都看不见
angry	-2.75	sample_00003305	不就留个血吗就是海归吗有什么了不起那你也不能看不起人
worried	-1.75	sample_00005006	因为刚才精英班发生了一件事情我有个学生把自己反锁在厕所里还用头使劲撞门
happy	1.0	sample_00006835	很好很多话都能够心平气和地
neutral	0.75	sample_00003207	不怪你因为有事而宣布也是临时决定要开这个
neutral	-0.25	sample_00000135	你订好回真机票告诉我我去接你
surprise	-0.25	sample_00000483	你不去
neutral	0.0	sample_00000860	快快帮我查魏国强的资料对越详起越好
neutral	0.0	sample_00005617	他要带一点点不好意思
angry	-3.75	sample_00004605	我在学校里等着你整整一个下午你什么意思啊你故意的
happy	2.25	sample_00005950	陈总有你这样的老板真好
neutral	0.5	sample_00006999	但是这部片子出来我看到了之后
neutral	-1.0	sample_00001713	他现在调到食品公司去工作了他说他是副总他听说我在找工作
neutral	0.25	sample_00006611	就说挺玄的
worried	-1.0	sample_00000646	您就注意保持心态
sad	-2.0	sample_00004140	
neutral	1.0	sample_00000248	什么叫警民共建哪老许
sad	-1.0	sample_00001610	我想我还是把他的骨灰送回老家去吧
sad	-3.5	sample_00003254	唉
angry	-1.5	sample_00004657	你就忽悠吧危言耸听
worried	-1.75	sample_00002902	把所有的布平和所有的奋斗都转嫁给我们这个行业这是很
neutral	0.25	sample_00003299	我呀我开车给你送去啊到了医院门口呢
angry	-2.25	sample_00002958	你说这个您说这个我就生气了
sad	-0.75	sample_00004600	
worried	-1.25	sample_00004395	吃了你现在说这些没用你千万别揍他一顿否则大
sad	-4.0	sample_00000992	结果我一回家人就
angry	-3.25	sample_00001685	就会花言巧语地去骗那些二十多岁的女孩儿
angry	-3.5	sample_00006391	天宇天宇你你你再说一遍你说你说那个苏
neutral	0.0	sample_00006610	我就觉得可以上脸了
worried	-1.0	sample_00002508	你这样让你的朋友去他们家看看他这人太认真了别想不开
happy	2.75	sample_00001154	你以后有货请你喝茶拜拜
angry	-2.75	sample_00003945	我跟你说啊青儿啊这神经病真不是外表能看出来的
worried	-0.25	sample_00001796	行行行我不问但是我觉得你现在如果难受一定要
happy	1.25	sample_00006373	你你
surprise	-0.75	sample_00006270	住院了
sad	-2.0	sample_00002185	李奎我们离婚吧
worried	-1.75	sample_00002591	那怎么办
happy	1.75	sample_00005206	哦正是告诉我是什么呀
happy	0.75	sample_00005222	他是我在三千多场当中
angry	-3.5	sample_00002807	活该你嫁不出去
neutral	-0.25	sample_00001077	是该好好地汇报一下起码让公司明白这是一个严峻
neutral	-2.0	sample_00006130	最主要的就是因为你整过容吗
worried	-1.75	sample_00004512	你妈她怎么会不认识我呢
surprise	-1.0	sample_00006778	闭行呀
sad	-1.0	sample_00005603	果然
angry	-1.25	sample_00005354	这眼看就成一家人了见个面怎么了
neutral	-0.5	sample_00003223	我没有我老婆挣得多所以就辞了
happy	2.5	sample_00001199	你人这么好一定会找到一个爱你的人
worried	-0.25	sample_00003025	但是有件事我还必须得跟你
happy	2.0	sample_00002096	你看我这个脑子呀
neutral	0.75	sample_00001246	有你这句话我们大家就放心了
sad	-2.0	sample_00002255	爸儿子不孝不能给您
angry	-2.5	sample_00004985	你现在成天都关着机要么就不在服务区都是怕李儿给你打电话
neutral	0.5	sample_00006601	我喜欢你那种直来直去的性格对朋友又那么仗义
sad	-3.25	sample_00003326	我觉得我现在自己就是个囚犯我一点自由都没有我一点自由都没有
neutral	-0.25	sample_00002189	另外今天在公园里跟你说的话你还记得
happy	2.25	sample_00003886	那就好那就好别光顾着吃
neutral	-0.75	sample_00004894	那就从你说出话能不挨打开始
neutral	-0.25	sample_00004970	这徐若云什么来头
worried	-1.0	sample_00006665	不能再让他们老为我这事担心了
sad	-3.75	sample_00005345	嗯你
neutral	0.25	sample_00002546	医药费你就别担心了
happy	1.0	sample_00003626	之前你见过在酒会上
happy	2.25	sample_00003335	
happy	2.25	sample_00003332	然后我都觉得我哪哪都
neutral	-1.25	sample_00000204	解决了燃眉之急但是之后的医药费就要樊大姐自己想办法了她要是能借到钱我可以
happy	2.25	sample_00004945	阿姨我今天来是想
worried	-2.5	sample_00004249	是啊怎么一门都没考好呢您说这可怎么办啊
neutral	1.75	sample_00004052	就是经得风雨见的世面那太多了没有我承受不了的事
sad	-1.75	sample_00002257	算了咱咱不说这个
angry	-1.75	sample_00002987	什么情况这是
neutral	0.75	sample_00006729	反正我周末也没
happy	1.5	sample_00003673	总归会有磕磕胖胖的把话说开了就好了
surprise	-0.75	sample_00002389	本身一变成为一代侨领
angry	-1.5	sample_00004572	我把他抽给抽骂了一顿
neutral	-1.0	sample_00006320	我想问问你你是不是早就知道我在你餐厅工作
